Date,Territory,Cured,Deaths,Confirmed
2020-03-29,Kerala,4,1,6
2020-04-01,Kerala,4,1,7
2020-04-13,Kerala,37,1,2
2020-04-25,Kerala,7,1,3
2020-05-26,Kerala,11,1,49
2020-05-27,Kerala,10,1,67
2020-05-28,Kerala,10,1,41
2020-05-30,Kerala,10,1,62
2020-05-31,Kerala,10,1,58
2020-06-02,Kerala,18,1,57
2020-06-03,Kerala,19,1,86
2020-06-05,Kerala,39,3,94
2020-06-07,Kerala,50,1,108
2020-06-09,Kerala,11,1,91
2020-06-11,Kerala,57,2,65
2020-06-13,Kerala,32,1,78
2020-06-16,Kerala,73,1,82
2020-06-19,Kerala,89,1,97
2020-06-24,Kerala,60,1,141
2020-07-01,Kerala,154,2,253
2020-07-03,Kerala,201,1,160
2020-07-07,Kerala,167,2,193
2020-07-12,Kerala,143,2,488
2020-07-13,Kerala,132,2,435
2020-07-14,Kerala,162,2,449
2020-07-15,Kerala,181,1,608
2020-07-16,Kerala,196,1,623
2020-07-17,Kerala,228,2,722
2020-07-18,Kerala,133,1,791
2020-07-19,Kerala,204,2,593
2020-07-20,Kerala,172,2,821
2020-07-21,Kerala,245,1,794
2020-07-22,Kerala,274,1,720
2020-07-23,Kerala,272,1,1038
2020-07-24,Kerala,432,5,1078
2020-07-25,Kerala,968,4,885
2020-07-26,Kerala,1049,5,1103
2020-07-27,Kerala,689,2,927
2020-07-28,Kerala,745,2,702
2020-07-29,Kerala,679,4,1167
2020-07-30,Kerala,641,1,903
2020-07-31,Kerala,794,2,506
2020-08-01,Kerala,864,3,1310
2020-08-02,Kerala,752,8,1129
2020-08-03,Kerala,688,1,1169
2020-08-04,Kerala,815,2,962
2020-08-05,Kerala,1021,3,1083
2020-08-06,Kerala,1234,7,1195
2020-08-07,Kerala,800,3,1298
2020-08-08,Kerala,814,5,1251
2020-08-09,Kerala,1715,4,1420
2020-08-10,Kerala,970,2,1211
2020-08-11,Kerala,784,7,1184
2020-08-12,Kerala,1426,5,1417
2020-08-13,Kerala,880,6,1212
2020-08-14,Kerala,766,3,1564
2020-08-15,Kerala,1304,10,1569
2020-08-16,Kerala,803,7,1608
2020-08-17,Kerala,1099,10,1530
2020-08-18,Kerala,1131,13,1725
2020-08-19,Kerala,1365,6,1758
2020-08-20,Kerala,1217,7,2333
2020-08-21,Kerala,1217,9,1968
2020-08-22,Kerala,1419,12,1983
2020-08-23,Kerala,1292,15,2172
2020-08-24,Kerala,1110,5,1908
2020-08-25,Kerala,1238,11,1242
2020-08-26,Kerala,1456,10,2375
2020-08-27,Kerala,1351,13,2476
2020-08-28,Kerala,2067,10,2406
2020-08-29,Kerala,2097,7,2543
2020-08-30,Kerala,2225,6,2397
2020-08-31,Kerala,1770,7,2154
2020-09-01,Kerala,1689,7,1530
2020-09-02,Kerala,2111,4,1140
2020-09-03,Kerala,2129,7,1547
2020-09-04,Kerala,1950,10,1553
2020-09-05,Kerala,2716,11,2479
2020-09-06,Kerala,2111,11,2655
2020-09-07,Kerala,2196,10,3082
2020-09-08,Kerala,2246,12,1648
2020-09-09,Kerala,1866,13,3026
2020-09-10,Kerala,2054,12,3402
2020-09-11,Kerala,1661,12,3349
2020-09-12,Kerala,1322,14,2988
2020-09-13,Kerala,1944,15,2885
2020-09-14,Kerala,1855,14,3139
2020-09-15,Kerala,2110,15,2540
2020-09-16,Kerala,2532,12,3215
2020-09-17,Kerala,2267,14,3830
2020-09-18,Kerala,2737,9,4351
2020-09-19,Kerala,2740,12,4167
2020-09-20,Kerala,2866,18,4624
2020-09-21,Kerala,2751,16,4716
2020-09-22,Kerala,3022,18,2910
2020-09-23,Kerala,3007,19,4125
2020-09-24,Kerala,2951,20,5376
2020-09-25,Kerala,3168,21,6324
2020-09-26,Kerala,3481,22,6477
2020-09-27,Kerala,3199,21,7006
2020-09-28,Kerala,3391,21,7445
2020-09-29,Kerala,3347,20,4538
2020-09-30,Kerala,3420,22,7354
2020-10-01,Kerala,3536,23,8830
2020-10-02,Kerala,2828,29,8135
2020-10-03,Kerala,4092,20,9258
2020-10-04,Kerala,4476,22,7834
2020-10-05,Kerala,4851,23,8553
2020-10-06,Kerala,4640,23,5042
2020-10-07,Kerala,4981,25,7871
2020-10-08,Kerala,6161,22,10606
2020-10-09,Kerala,7003,24,5445
2020-10-10,Kerala,8048,25,9250
2020-10-11,Kerala,7570,23,11755
2020-10-12,Kerala,8924,25,9347
2020-10-13,Kerala,7836,22,5930
2020-10-14,Kerala,7723,21,8764
2020-10-15,Kerala,7792,20,6244
2020-10-16,Kerala,7082,23,7789
2020-10-17,Kerala,6767,24,7283
2020-10-18,Kerala,7991,26,9016
2020-10-19,Kerala,8410,22,7631
2020-10-20,Kerala,7469,21,5022
2020-10-21,Kerala,7375,24,6591
2020-10-22,Kerala,6839,26,8369
2020-10-23,Kerala,7593,23,7482
2020-10-24,Kerala,6118,26,8511
2020-10-25,Kerala,6468,25,8253
2020-10-26,Kerala,7649,26,6843
2020-10-27,Kerala,7107,20,4287
2020-10-28,Kerala,7015,24,5457
2020-10-29,Kerala,7660,27,8790
